platform,profile_url,status,claimed_date,name_used,address_used,phone_used,website_linked,photo_uploaded,notes
CANONICAL RECORD,,,,{{FULL_LEGAL_NAME}},"{{STREET, SUITE}}, {{CITY}}, MA {{ZIP}}",{{(617) 555-0100}},{{https://example.com}},,"Use this exact formatting everywhere, character for character."
Avvo,,CONFIRMED ABSENT - create,,{{FULL_LEGAL_NAME}},,,,,"Search your name first. If absent, create a profile; free. Categories per practice-area-mapping.md."
Justia,,CONFIRMED ABSENT - request,,{{FULL_LEGAL_NAME}},,,,,"Search your name first. If absent, request a free profile; allow a few business days."
Super Lawyers,,NOT CREATABLE,,,,,,,"Peer-nominated award, no self-nomination. Rising Stars is the realistic target (under 40 or <=10 yrs). See channel-strategy.md item 3."
Google Business Profile,,,,{{FULL_LEGAL_NAME}},,,,,"Only worth it if you have a client-facing office. Low value for an institutional practice."
Massachusetts BBO,,active,,{{FULL_LEGAL_NAME}},,,,,"Registered address feeds directory auto-generation - make sure it is correct here first. Verify your admission year here too."
SSRN author page,,,,{{FULL_LEGAL_NAME}},,,,,"HIGH PRIORITY - best ROI for the AI and professional ethics work."
Google Scholar profile,,,,{{FULL_LEGAL_NAME}},,,,,"HIGH PRIORITY - pairs with SSRN; makes scholarship findable by name."
Chambers USA submission,,,,{{FULL_LEGAL_NAME}},,,,,"Annual cycle with hard deadlines and client references. Find out who handles submissions at your firm."
Legal 500 submission,,,,{{FULL_LEGAL_NAME}},,,,,"Same as Chambers. Primary channel for antitrust and sovereign work."
{{LOCAL}} Bar Association,,,,{{FULL_LEGAL_NAME}},,,,,"Section involvement (antitrust / appellate / ethics) is what Super Lawyers and Chambers researchers scan."
American Bar Association,,,,{{FULL_LEGAL_NAME}},,,,,"Antitrust Law Section; Standing Committee on Ethics and Professional Responsibility."
MCLE New England,,,,{{FULL_LEGAL_NAME}},,,,,"AI ethics programming is running now - live speaking opportunity in your best niche."
Martindale-Hubbell,,,,{{FULL_LEGAL_NAME}},,,,,"Low priority."
LinkedIn,,,,{{FULL_LEGAL_NAME}},,,,,"Must match canonical record; goes in schema sameAs."
Own website footer,,,,{{FULL_LEGAL_NAME}},,,,,"Must match canonical record and attorney-schema.jsonld."
